group,SPORT
SkyMoviesDisney.uk,Sky Movies Disney,http://91.109.20.227:8080/TV4247
SkyMoviesFamily.uk,Sky Movies Family,http://91.109.20.227:8080/TV4248
ext,Sky Movies SciFi,http://91.109.20.227:8080/TV4249
ext,Sky Movies Premiere 2nd,http://185.56.30.123:8082/TV4251
ext,Sky Movies Premiere+ 2nd,http://185.56.30.123:8082/TV4252
ext,Sky Sky Movies Select 2nd,http://185.56.30.123:8082/TV4254
ext,Sky Movies Action & Adventure 2nd,http://185.56.30.123:8082/TV4245
ext,Sky Movies Comedy 2nd,http://185.56.30.123:8082/TV4246
ext,Sky Movies Disney 2nd,http://185.56.30.123:8082/TV4247
ext,Sky  Movies Family 2nd,http://185.56.30.123:8082/TV4248
ext,Sky Movies SciFi 2nd,http://185.56.30.123:8082/TV4249
ext,CINEBRASIL,http://62.210.83.180:1935/liverepeat/cinebrasil180/cinebrasil180/IGOR_RANGEL.m3u8
CinemaxO.mx,CINEMAX,rtmp://31.204.128.140:1935/live/53
Megapix.br,MEGAPIX,rtmp://31.204.128.73:1935/live/master11
ext,TC ACTION,rtmp://31.204.128.75:1935/live/master17
Telecinepipoca.br,TC PIPOCA,rtmp://31.204.128.74:1935/live/master18
Telecinepremium.br,TC PREMIUM,rtmp://31.204.128.140:1935/live/master19
universal-russia,UNIVERSAL,rtmp://31.204.128.75:1935/live/master20
universal-russia,UNIVERSAL,rtmp://180.250.29.12:1935/jhos/beib1_5

group,DOCUMENTARY
ext,DISCOVERY HD ENG,http://200.76.77.237/LIVE/H01/CANAL351/PROFILE03.m3u8?
ext,Animal Planet HD ENG,http://sjc-uhls-vip01.ustream.tv/watch/playlist.m3u8?cid=12762028
ext,A&E Network HD SP,http://200.76.77.237/LIVE/H01/CANAL211/PROFILE03.m3u8?
ext,Discovery Science HD RU,http://46.61.226.18/hls/CH_C05_DISCOVERYSCIENCEHD/bw3000000/variant.m3u8?version=2
ext,Animal Planet HD RU,http://46.61.226.18/hls/CH_C03_ANIMALPLANETHD/bw3000000/variant.m3u8?version=2
ext,Nat Geo Wild HD RU,http://46.61.226.18/hls/CH_C03_NATGEOWILDHD/bw3000000/variant.m3u8?version=2
ext,National Geographic HD RU,http://46.61.226.18/hls/CH_C04_NGCHD/bw3000000/variant.m3u8?version=2


